name,country,city,contact_person,email,phone
"Вершина мира",Россия,Санкт-Петербург,Иванов И.И.,club1@mail.ru,+79001112233
"Эдельвейс",Казахстан,Алматы,Петров П.П.,club2@mail.ru,+77002223344
"Alpinist Pro",Грузия,Тбилиси,Георгидзе Г.,info@alppro.ge,+995123456
"Памирские волки",Таджикистан,Душанбе,Рахимов А.,pamir@mail.tj,+9923334455
"Альп-Индустрия",Россия,Москва,Смирнов С.С.,msk@alp.ru,+74950001122
"Swiss Peaks",Швейцария,Цюрих,Hans Muller,hans@swiss.ch,+41441234567
"Mont Blanc Society",Франция,Шамони,Jean-Pierre,jp@montblanc.fr,+33450123456
"Кыргыз-Стан",Киргизия,Бишкек,Асанов Б.,bishkek@climb.kg,+996555112233
"Golden Piton",Узбекистан,Ташкент,Мирзоев У.,tashkent@piton.uz,+998711234567
"Siberian Routes",Россия,Новосибирск,Волков В.,nsk@routes.ru,+73831110011
